p_bat,player_name
267414,Shaminda Eranga
267454,Rodney Trott
267455,Rakep Patel
267724,Keshav Maharaj
268739,Ajantha Mendis
268740,Seekkuge Prasanna
268845,Lahiru Gamage
269237,Mohammad Mithun
269280,Reeza Hendricks
270484,James Faulkner
272262,Kane Richardson
272279,Nathan Lyon
272364,Phillip Hughes
272450,Mitchell Marsh
272465,James Pattinson
272473,Glenn Rogers
272477,Jason Behrendorff
272994,Rahul Sharma
273439,Sachithra Senanayake
274921,Veerasammy Permaul
274926,Adrian Barath
275943,Royston Crandon
276298,Andre Russell
276370,Jeremy Gordon
276539,Josclyn Pitcher
277472,Darren Bravo
277662,Corey Anderson
277906,Kane Williamson
277911,George Worker
277912,Trent Boult
277916,Ajinkya Rahane
277955,Dhawal Kulkarni
279531,Oronde Bascome
279710,Badal Singh
279810,Wriddhiman Saha
280490,JJ Smuts
280734,Imrul Kayes
281653,Adnan Mufti
288211,Umar Amin
288284,Josh Hazlewood
288305,Shafiul Islam
288992,Chris Jordan
290462,Solomon Mire
290630,Manish Pandey
290645,Krishna Chandran
290716,Kedar Jadhav
290727,Rishi Dhawan
290948,Mohammad Amir
291088,Zain Abbas
291844,Alex Obanda
292152,Jamie Atkinson
293031,Elijah Otieno
293831,Regis Chakabva
293983,Alex Cusack
295644,Gordon Drummond
296597,James Vince
297433,Jonny Bairstow
297488,Matt Machan
297517,Bradley Kruger
297524,David Murphy
297583,Kyle Abbott
297628,Sam Billings
297634,Stuart Meaker
297635,James Taylor
298195,Jan Stander
298197,Matthew Parker
298438,Jason Roy
299572,Sikandar Raza
299814,Shahzad Khan
299821,Mohsin Mulla
300617,Rony Talukdar
300618,Nasir Hossain
300619,Rubel Hossain
300624,Srimantha Wijeyeratne
300628,Dinesh Chandimal
300629,Angelo Perera
300631,Kusal Perera
301236,Lahiru Thirimanne
301847,Subashis Roy
302845,Tony Ura
302850,Willie Gavera
302875,Jason Kila
303341,Reinhardt Strydom
303349,Peter Connell
303412,Ryan Flannigan
303423,Andy Balbirnie
303427,Paul Stirling
303437,James Shannon
303508,Shane Getkate
303669,Joe Root
304735,Dilshan Munaweera
306982,Maurits Jonkman
307075,Ruvindu Gunasekera
307077,Rustam Bhatti
307235,Kyle Hodsoll
307449,Chris Douglas
307652,Noor-ul-Haq
307653,Shabir Noori
307657,Zakiullah Zaki
307756,Jatinder Singh
307808,Rohan Mustafa
308235,Javed Ahmadi
308251,David Willey
308294,Stuart Poynter
308410,Pikky Ya France
308418,Nelson Odhiambo
308515,Shem Ngoche
308691,James Ngoche
308794,Michael Swart
308798,D'Arcy Short
308967,Jos Buttler
310519,Scott Borthwick
310958,Abhimanyu Mithun
311158,Ben Stokes
311427,Hamid Hassan
311592,Mitchell Starc
313430,Calvert Hooper
313432,Arvind Kandappah
313526,Abdul Jabbar
314615,Jonathan Carter
314650,Nkrumah Bonner
315035,Sybrand Engelbrecht
315051,Dominic Wesonga
315232,Asif Khan
315586,Chadwick Walton
315594,Ashley Nurse
315623,Ben Laughlin
316102,Craig Williams
316397,Asad Shafiq
317248,Saad Nasim
317252,Sohail Khan
317273,Umar Akmal
317784,Sudeep Tyagi
318334,Nawroz Mangal
318337,Ahmed Shah
318339,Samiullah Shinwari
318340,Noor Ali Zadran
318788,Haris Sohail
318842,Khaya Zondo
318845,Rilee Rossouw
319439,Mitchell McClenaghan
319613,Aman Ali
319746,Shapoor Zadran
319758,Karim Sadiq
320281,Hasti Gul
320284,Raees Ahmadzai
320652,Asghar Afghan
321777,David Miller
323244,Rahat Ali
323389,Mohammad Rizwan
324358,Nuwan Pradeep
325012,Marcus Stoinis
325026,Glenn Maxwell
326016,Bhuvneshwar Kumar
326017,Siddarth Kaul
326434,Alex Carey
326632,Joe Burns
326637,Chris Lynn
326968,Michael Bracewell
327830,Dwaine Pretorius
328026,Isuru Udana
330223,Bernard Scholtz
330902,Mustafizur Rahman
331375,Hamish Rutherford
332921,Alawi Shukri
332937,Jahmar Hamilton
332978,John Reva
332980,Charles Amini
332996,Kyle Jarvis
333000,Peter Moor
333001,Tinotenda Mutombodzi
333066,Johnson Charles
333782,Timm van der Gugten
334337,Peter Handscomb
334340,Ian Holland
334621,Shadley van Schalkwyk
334946,Nizel Fernandes
337790,Rassie van der Dussen
341593,Devendra Bishoo
342182,Vikrant Shetty
342616,Kithuruwan Vithanage
342619,Bhanuka Rajapaksa
343305,Bilawal Bhatti
343529,Shingi Masakadza
343548,Raza Hasan
345821,Danushka Gunathilaka
345825,Chaturanga de Silva
348016,Irfan Karim
348024,Kraigg Brathwaite
348026,John Campbell
348034,George Dockrell
348037,Graeme McCarter
348049,Nasum Ahmed
348054,Sunil Ambris
348056,Kyle Mayers
348059,Barry McCarthy
348091,Kavem Hodge
348109,Paul van Meekeren
348129,Nitish Kumar
348133,Steven Taylor
348135,Nikhil Dutta
348144,Babar Azam
348148,Mohammad Nawaz
348154,Zafar Gohar
350629,Nizakat Khan
350632,Waqas Barkat
351588,Mark Wood
352048,Gulbadin Naib
352894,Seren Waters
353431,Rob Taylor
355107,Neil Kruger
355269,James Neesham
355583,Harvir Baidwan
359746,Saad Bin Zafar
360456,Asela Gunaratne
360911,Varun Aaron
361952,Rizwan Cheema
362079,Chaminda Bandara
362201,Lewis Gregory
362541,Doug Bracewell
362603,Shafiqullah
364300,Tim Gruijters
364302,Eddie Richardson
364329,Freddie Coleman
364330,Marc Petrie
364343,Craig Young
364788,Ben Foakes
365126,Ramesh David
366725,Oshada Fernando
370033,Anthony Hawkins-Kay
370034,Ben Stevens
370040,Jeffrey Vandersay
370535,Toby Roland-Jones
370846,Shahzaib Hasan
372116,Temba Bavuma
373439,Abul Hasan
373538,Sabbir Rahman
373696,Mominul Haque
376116,Umesh Yadav
376169,Michael Neser
377639,Tarun Nethula
378457,Mohammad Sanuth
379140,Devon Conway
379143,Quinton de Kock
379144,Graham Hume
379145,Tabraiz Shamsi
379504,Adam Zampa
379774,Colin Ackermann
379776,Sisanda Magala
379887,Lizaad Williams
379890,Chad Bowes
379927,Beuran Hendricks
380354,Anamul Haque
380956,Michael Rippon
380957,James Cameron-Dow
380974,Sunzamul Islam
381734,Fiqre Crockwell
381743,Daryl Mitchell
384518,Hammad Azam
384525,Zahoor Khan
384817,Andri Berenger
385938,Kaleem Sana
387420,Mirwais Ashraf
387435,Vani Morea
387845,Christi Viljoen
388802,Tom Latham
390752,Abdullah Mazari
391485,Jason Holder
391832,Roston Chase
392944,Natsai M'shangwe
392945,Donald Tiripano
398438,Mayank Agarwal
398439,Karun Nair
398513,Saurabh Netravalkar
398666,Sean Abbott
399259,Alasdair Evans
401057,Taijul Islam
401537,Kinchit Shah
401540,Aizaz Khan
402066,Sufyan Mehmood
402245,Amir Hamza
402247,Izatullah Dawlatzai
402992,Shuvagata Hom
403902,Liam Livingstone
406308,Nigel Jones
